Name                                                                                       Stmts   Miss  Cover
--------------------------------------------------------------------------------------------------------------
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/__init__.py                   3      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_argcomplete.py              37     23    38%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_code/__init__.py            10      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_code/code.py               724    468    35%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_code/source.py             145    107    26%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_io/__init__.py               3      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_io/saferepr.py              82     62    24%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_io/terminalwriter.py       120     44    63%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_io/wcwidth.py               25     11    56%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_py/__init__.py               0      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_py/error.py                 56     35    38%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_py/path.py                 943    768    19%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/_version.py                  11      2    82%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/assertion/__init__.py        86     25    71%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/assertion/rewrite.py        672    458    32%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/assertion/truncate.py        49     38    22%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/assertion/util.py           307    263    14%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/cacheprovider.py            322    163    49%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/capture.py                  603    234    61%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/compat.py                   163     70    57%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/config/__init__.py          883    372    58%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/config/argparsing.py        259     80    69%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/config/compat.py             38      5    87%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/config/exceptions.py          4      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/config/findpaths.py         131     59    55%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/debugging.py                230    161    30%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/deprecated.py                24      1    96%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/doctest.py                  361    249    31%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/faulthandler.py              55     14    75%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/fixtures.py                 826    465    44%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/freeze_support.py            20     14    30%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/helpconfig.py               134     92    31%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/hookspec.py                 114     26    77%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/junitxml.py                 367    269    27%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/legacypath.py               216     68    69%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/logging.py                  440    165    62%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/main.py                     471    166    65%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/mark/__init__.py            129     58    55%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/mark/expression.py          127     73    43%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/mark/structures.py          272    150    45%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/monkeypatch.py              168     97    42%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/nodes.py                    331    125    62%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/nose.py                      29     11    62%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/outcomes.py                 110     62    44%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/pastebin.py                  70     47    33%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/pathlib.py                  416    264    37%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/pytester.py                 796    582    27%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/python.py                   896    496    45%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/python_api.py               337    251    26%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/python_path.py               16      4    75%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/recwarn.py                  130     81    38%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/reports.py                  297    167    44%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/runner.py                   296     87    71%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/scope.py                     39     12    69%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/setuponly.py                 58     35    40%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/setupplan.py                 24      7    71%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/skipping.py                 163     87    47%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/stash.py                     36      1    97%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/stepwise.py                  74     43    42%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/terminal.py                 913    425    53%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/threadexception.py           42      5    88%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/timing.py                     4      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/tmpdir.py                   156     73    53%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/unittest.py                 251    178    29%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/unraisableexception.py       44      7    84%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/warning_types.py             64     10    84%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/_pytest/warnings.py                  74     19    74%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/__init__.py                    67      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/__init__.py               0      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_eventloop.py            62     38    39%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_exceptions.py           16      3    81%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_fileio.py              306    161    47%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_resources.py             7      3    57%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_signals.py               7      1    86%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_sockets.py             207    160    23%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_streams.py              16      8    50%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_subprocesses.py         38     27    29%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_synchronization.py     241    145    40%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_tasks.py                53     21    60%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_testing.py              29     15    48%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/_core/_typedattr.py            34     10    71%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/abc/__init__.py                44      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/abc/_eventloop.py             169     43    75%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/abc/_resources.py              12      2    83%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/abc/_sockets.py                76     25    67%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/abc/_streams.py                55     10    82%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/abc/_subprocesses.py           29      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/abc/_tasks.py                  27      3    89%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/abc/_testing.py                18      2    89%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/from_thread.py                180    127    29%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/lowlevel.py                    79     41    48%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/pytest_plugin.py               95     62    35%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/streams/__init__.py             0      0   100%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/streams/memory.py             133     80    40%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/streams/stapled.py             64     29    55%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/streams/tls.py                139     85    39%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/anyio/to_thread.py                   10      2    80%
/Users/yakov/Library/Python/3.9/lib/python/site-packages/exceptiongroup/__init__.py           15      3    80%
